Teacher,Grade,Student ID,Last Name,First Name,Overall Score, Overall,Date,Test 1 ,Date,Test 2,Date,Test 3,Date,Test 4,Date,Test 5,Date,Test 6,Date,Test 7,Date,Test 8,Date,Test 9,Date,Test 10,Date,Test 11,Date,Test 12,Date,Test 13,Date,Test 14
Santiago,2,Optional 13,Johnson,Jennifer,55,Well Below,9/12/24,21,9/12/24,5,9/12/24,10,9/12/24,5,12/10/24,4,12/10/24,1,12/10/24,2,12/10/24,1,12/10/24,4,12/10/24,2,9/12/24,0,,,,,,
Higashi,2,Optional 14,Brown,Willow,65,Below,12/11/24,21,9/6/24,5,12/11/24,10,12/11/24,5,12/11/24,5,12/11/24,2,12/11/24,3,12/11/24,3,12/11/24,3,12/11/24,5,12/11/24,1,12/11/24,2,,,,
Bobinski,2,Optional 15,Rodriguez,Will,0,Well Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurzenhauser,2,Optional 16,Davis,Parma,62,Below,12/11/24,21,9/6/24,5,12/11/24,9,12/11/24,5,9/6/24,5,9/6/24,1,12/11/24,4,12/11/24,3,12/11/24,4,12/11/24,2,12/11/24,2,12/11/24,1,,,,
Krummes,2,Optional 17,Rodriguez,Elizabeth,67,Benchmark,12/13/24,21,9/10/24,5,9/10/24,10,12/13/24,5,9/10/24,5,12/13/24,3,12/13/24,5,12/13/24,2,12/13/24,4,12/13/24,4,12/13/24,1,12/13/24,2,,,,
Galen,2,Optional 18,Martinez,Robert,86,Above,12/13/24,21,9/11/24,5,12/13/24,10,9/11/24,5,9/11/24,5,9/11/24,5,9/11/24,5,9/11/24,5,9/11/24,5,9/11/24,5,12/13/24,4,12/13/24,4,12/13/24,3,12/13/24,4
Dodd,2,Optional 19,Jones,Pat,86,Above,12/13/24,20,9/10/24,5,12/13/24,10,9/10/24,5,9/10/24,5,12/13/24,5,12/13/24,5,12/13/24,5,12/13/24,5,9/10/24,5,12/13/24,5,12/13/24,5,12/13/24,3,12/13/24,3
Sanders,2,Optional 20,Davis,Martha,83,Above,12/11/24,18,12/11/24,5,12/11/24,10,12/11/24,5,12/11/24,5,12/11/24,5,12/11/24,5,12/11/24,5,12/11/24,5,12/11/24,5,12/11/24,4,12/11/24,5,12/11/24,3,12/11/24,3
Santiago,2,Optional 21,Brown,Roberta,76,Benchmark,12/17/24,21,12/17/24,5,12/17/24,9,9/10/24,5,9/10/24,5,12/17/24,3,12/17/24,5,12/17/24,4,12/17/24,5,12/17/24,5,12/17/24,3,12/17/24,4,12/17/24,2,12/17/24,0
Higashi,2,Optional 22,Jones,John,46,Well Below,12/11/24,21,12/11/24,5,12/11/24,10,12/11/24,5,12/11/24,5,12/11/24,0,12/11/24,0,,,,,,,,,,,,,,
Bobinski,2,Optional 23,Brown,Lipita,51,Well Below,9/6/24,21,9/6/24,5,12/12/24,10,9/6/24,5,12/12/24,5,12/12/24,3,12/12/24,1,12/12/24,1,,,,,,,,,,,,
Kurzenhauser,2,Optional 24,Martinez,Nena,89,Above,9/10/24,21,9/10/24,5,9/10/24,10,9/10/24,5,9/10/24,5,12/13/24,5,9/10/24,5,9/10/24,5,9/10/24,5,12/13/24,5,12/13/24,5,12/13/24,5,9/10/24,5,12/13/24,3
Krummes,2,Optional 25,Williams,Pereo,47,Well Below,12/12/24,21,9/6/24,5,12/12/24,10,12/12/24,5,9/6/24,5,12/12/24,1,12/12/24,0,12/12/24,0,,,,,,,,,,,,
Galen,2,Optional 26,Miller,Tuve,48,Well Below,9/12/24,21,9/12/24,5,12/10/24,9,12/10/24,5,12/10/24,5,12/10/24,2,12/10/24,0,12/10/24,1,,,,,,,,,,,,
Dodd,2,Optional 27,Garcia,Bethann,63,Below,12/11/24,19,12/11/24,5,12/11/24,9,12/11/24,5,12/11/24,5,9/6/24,4,12/11/24,4,12/11/24,3,12/11/24,4,12/11/24,1,12/11/24,2,12/11/24,1,12/11/24,1,12/11/24,0
Sanders,2,Optional 28,Miller,Stephanie,34,Well Below,12/12/24,20,12/12/24,5,12/12/24,6,12/12/24,1,12/12/24,2,,,,,,,,,,,,,,,,,,
Santiago,2,Optional 29,Smith,Brig,89,Above,12/11/24,20,12/11/24,5,12/11/24,10,12/11/24,5,12/11/24,5,12/11/24,5,12/11/24,5,12/11/24,5,12/11/24,5,12/11/24,5,12/11/24,4,12/11/24,5,12/11/24,5,12/11/24,5
Higashi,2,Optional 30,Pim,Kitten,91,Above,12/13/24,21,9/10/24,5,9/10/24,10,9/10/24,5,9/10/24,5,9/10/24,5,9/10/24,5,9/10/24,5,9/10/24,5,9/10/24,5,9/10/24,5,9/10/24,5,9/10/24,5,12/13/24,5
,,,Max Score,test,91,,,21,,5,,10,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5
